specobjid,plate,mjd,fiberid,obj_class,redshift,snMedian
6895036147598383104,6124,56211,91,GALAXY,0.1433391,21.01544
7326443008253253632,6507,56478,772,GALAXY,0.2839411,10.35232
968322887058483200,860,52319,178,GALAXY,0.1297088,15.27326
6534813599910877184,5804,56304,329,STAR,-0.0001125908,13.70588
3338429365426874368,2965,54594,495,STAR,0.0001450217,29.68674
3183031535896913920,2827,54422,409,STAR,0.0001899343,14.39672
8541090832643807232,7586,57186,51,STAR,-1.527358e-05,11.91677
8833938054731552768,7846,56984,463,QSO,1.885122,5.216192
2528838324177627136,2246,53767,244,QSO,0.0763427,16.114
5136589389565286400,4562,55570,851,GALAXY,0.001996598,48.26504
3724525627752161280,3308,54919,177,STAR,-0.0004942826,14.31491
5787259209747027968,5140,55836,486,GALAXY,0.2628995,9.408794
843404070931687424,749,52226,382,GALAXY,0.1447485,10.22099
9858626553642244096,8756,57687,898,QSO,0.7872684,6.208084
1528021046836357120,1357,53034,636,GALAXY,0.0946297,16.34
8821526767510771712,7835,56986,367,QSO,1.245303,5.661661
5246809118476621824,4660,56191,420,GALAXY,0.2510044,8.991588
3315827253157324800,2945,54505,189,STAR,-3.481273e-05,24.77039
5645327100011632640,5014,55717,236,STAR,2.199702e-06,10.29927
1065218175366359040,946,52407,425,GALAXY,0.1232312,13.49721
3597256055865843712,3195,54832,21,STAR,-0.0001707812,12.58792
1808342636201797632,1606,53055,536,GALAXY,0.2442659,8.579365
3230286072294434816,2869,54454,288,STAR,0.0003031616,16.01715
2433224794888497152,2161,53878,564,STAR,-0.0005850795,14.66301
8388107250871588864,7450,56722,556,STAR,0.0004238943,23.3932
7323127981735696384,6504,56540,1000,GALAXY,0.3526584,8.365552
988640762998581248,878,52353,366,GALAXY,0.1144858,20.29283
2504013276573100032,2224,53815,43,GALAXY,0.057506,8.47552
7277842667324856320,6464,56309,93,GALAXY,0.4056814,5.268737
1679965305746515968,1492,52932,446,STAR,-4.978637e-05,6.865406
4445283819097184256,3948,55331,840,STAR,-0.0006053345,37.336
1059570264079099904,941,52709,358,GALAXY,0.1052976,18.61488
6136294780454590464,5450,55986,510,GALAXY,0.1618907,21.26645
631677165242443776,561,52295,172,GALAXY,0.2206805,5.5371
2882426427611834368,2560,54205,446,STAR,-0.00050138,8.37485
6780354608655259648,6022,56076,674,GALAXY,0.2280038,13.46385
1441198930816690176,1280,52738,171,GALAXY,0.3005015,6.147536
9605205344893818880,8531,57905,557,STAR,-0.001195621,41.69694
6606858820097693696,5868,56045,284,QSO,2.414677,17.00759
1084407131131635712,963,52643,602,GALAXY,0.123052,15.15555
519081670540814336,461,51910,152,GALAXY,0.1008611,14.24284
1712630422036310016,1521,52945,497,STAR,-0.0008457467,11.64906
1764353376960669696,1567,53172,248,QSO,1.562944,9.449267
439206273783719936,390,51900,383,GALAXY,0.2099677,12.15803
575428355109709824,511,52636,340,GALAXY,0.0485449,9.410971
6942506187234760704,6166,56181,754,GALAXY,0.1989007,20.4301
8166281602521126912,7253,56598,471,STAR,-6.718413e-05,75.33456
851200713773049856,756,52577,74,GALAXY,0.1148185,13.83228
5194988575855499264,4614,55604,314,STAR,-0.0001079191,12.22755
3250500594695248896,2887,54521,100,STAR,-1.467103e-05,13.0596
5628514742656325632,4999,55721,513,GALAXY,0.2161399,12.80745
3649195611644862464,3241,54884,560,STAR,0.0001591114,39.25826
3016361790016612352,2679,54368,276,STAR,-1.723545e-05,12.60344
2067206456532297728,1836,54567,197,STAR,-1.520699e-05,50.96453
2187792075959855104,1943,53386,613,GALAXY,0.02209308,43.9969
13148266951481776128,11678,58511,28,QSO,2.036183,6.494894
843409568489826304,749,52226,402,GALAXY,0.04875617,7.72789
3641230474552123392,3234,54885,255,STAR,5.293034e-05,34.84765
1220483788824406016,1084,52591,30,STAR,0.0001704077,7.155894
2424173071016421376,2153,54212,402,GALAXY,0.06615719,7.814116
6111586006120814592,5428,56029,732,QSO,2.406965,15.24187
8208964375643707392,7291,56992,102,QSO,1.931111,42.87424
853539644447418368,758,52253,391,GALAXY,0.1031288,25.00351
2721314431672805376,2417,53766,52,STAR,-0.0002208467,22.69578
6885149889233442816,6115,56237,989,STAR,-0.000754456,6.341871
1640550565756823552,1457,53116,416,GALAXY,0.1191557,6.495364
2429789926116583424,2158,54209,356,GALAXY,0.07184072,16.22975
2253052216032126976,2001,53493,460,GALAXY,0.306697,5.567056
6780412882771531776,6022,56076,886,STAR,-0.0003671536,31.3414
1092261213707986944,970,52413,503,GALAXY,0.1016567,10.0845
2717991445406443520,2414,54526,251,STAR,3.92147e-05,11.39044
3109857389663250432,2762,54533,443,GALAXY,0.03087058,19.15782
2025557488866191360,1799,53556,231,STAR,-0.0001322634,15.42759
2704516099902302208,2402,54176,380,STAR,0.0004408303,6.366151
1411993706885572608,1254,52972,419,STAR,0.0001159388,37.29588
1558368393856313344,1384,53121,447,GALAXY,0.0611124,21.26751
5584606570871019520,4960,55747,520,GALAXY,0.314248,9.320971
4794206964740806656,4258,55481,455,STAR,0.0002058443,6.086247
808420634257287168,718,52206,89,GALAXY,0.1854858,11.28874
12097934829380982784,10745,58501,510,GALAXY,0.1994089,10.28357
6046283261331920896,5370,56003,730,STAR,7.025848e-05,40.66695
3753784731813126144,3334,54927,125,STAR,0.0006597998,62.71836
5465322202600855552,4854,55685,742,GALAXY,0.2323478,16.03682
5792818890276100096,5145,55835,232,QSO,0.4841397,8.065333
2435357571645728768,2163,53823,131,GALAXY,0.08818919,7.416704
986366428498126848,876,52669,284,GALAXY,0.1792106,12.65997
1697882122800359424,1508,52944,91,GALAXY,0.1683982,7.376761
2832794473338005504,2516,54241,110,GALAXY,0.03425343,35.54736
3328314132171614208,2956,54525,560,GALAXY,0.06729765,10.07235
3166176026283763712,2812,54639,529,STAR,5.415818e-05,59.39283
2497252104712775680,2218,53816,22,GALAXY,0.1323525,13.58394
1446891102262028288,1285,52723,399,GALAXY,0.06182595,20.89396
8644866315096709120,7678,57282,752,QSO,2.006014,5.045054
1125926064585992192,1000,52643,95,STAR,0.0004787968,19.49111
459382585705916416,408,51821,56,GALAXY,0.1422066,13.02508
2907183305193449472,2582,54139,399,GALAXY,0.147137,11.83652
7739502315103868928,6874,56550,241,GALAXY,0.3464525,5.945221
2045855303097935872,1817,53851,346,GALAXY,0.07671478,9.620923
1247631291340318720,1108,53227,488,GALAXY,0.1398137,5.099218
333397247595145216,296,51984,476,GALAXY,0.1387644,6.648451
2588500298062391296,2299,53711,205,STAR,-8.880924e-05,24.40617
2624511503415404544,2331,53742,141,STAR,0.0004421016,11.72688
1471654582651217920,1307,52999,376,GALAXY,0.02727791,12.7721
2875569049440380928,2554,54263,75,STAR,3.677774e-05,39.00947
7666526902124042240,6809,56454,998,GALAXY,0.2318293,11.906
3723389283340492800,3307,54970,139,STAR,0.000424162,8.942698
5245670564052621312,4659,55587,374,GALAXY,0.3603846,6.473161
8832844315472713728,7845,56980,580,QSO,1.240501,7.746512
344596042580256768,306,51637,257,GALAXY,0.07284117,26.52578
9413793836596221952,8361,57731,526,QSO,0.7638971,5.110454
418902146889574400,372,52173,245,GALAXY,0.2185295,15.18947
6085561665084217344,5405,56010,264,QSO,0.7378514,9.390013
1214949672427218944,1079,52621,377,STAR,-0.0001328134,34.60039
5984387903094282240,5315,55978,836,GALAXY,0.227447,10.72699
5644344136717064192,5013,55723,756,STAR,-6.707849e-06,12.43193
3034463325510461440,2695,54409,593,STAR,0.0001721574,13.20043
3173966890431178752,2819,54617,200,STAR,-7.981205e-05,18.9837
1829648973950904320,1625,53140,224,STAR,0.0002329384,46.72212
1141690038745065472,1014,52707,100,GALAXY,0.06952,26.07931
1906171414965151744,1693,53446,83,GALAXY,0.04790564,17.89158
4365172302956222464,3877,55365,212,GALAXY,0.3189583,9.39305
1058374544529582080,940,52670,104,GALAXY,0.01709132,10.04295
3282124197974796288,2915,54497,458,STAR,0.000185139,19.32321
2450111375469471744,2176,54243,557,STAR,-0.0001647588,54.4612
1824051085325658112,1620,53137,339,GALAXY,0.1937003,11.10409
4320335321760028672,3837,55572,936,GALAXY,0.2761124,11.10414
5115216263246010368,4543,55888,920,STAR,-0.0001962359,30.74696
769042730155272192,683,52524,193,STAR,-0.0001689214,11.4405
3902439804591251456,3466,54998,257,STAR,-0.0001749098,12.1518
3137976850106574848,2787,54552,341,GALAXY,0.1475569,14.74951
